trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
prv_belt_blaster_core,prv_belt_blaster_shot,base_trail_zapWithCore,8,0.025,0.025,0.025,30,30,"[255,96,50]","[255,96,0]",0.5,-128,-256,27,0,0,TRUE,FALSE,TRUE,150,50,0,0,0,360,true,true
prv_belt_blaster_tail,prv_belt_blaster_shot,base_trail_fuzzy,8,0.025,0.025,0.05,30,0,"[255,128,0]","[255,128,0]",0.2,-128,-256,0,0,0,TRUE,FALSE,TRUE,150,50,0,0,0,360,true,true
prv_blaster_charge_core,prv_blaster_charge_shot,base_trail_zapWithCore,8,0.025,0.025,0.025,30,30,"[255,96,50]","[255,96,0]",0.5,-128,-256,27,0,0,TRUE,FALSE,TRUE,150,50,0,0,0,360,true,true
prv_blaster_charge_tail,prv_blaster_charge_shot,base_trail_fuzzy,8,0.025,0.025,0.05,30,0,"[255,128,0]","[255,128,0]",0.2,-128,-256,0,0,0,TRUE,FALSE,TRUE,150,50,0,0,0,360,true,true
prv_remission_shot_1,prv_remission_shot,base_trail_fuzzy,8,0,0,0.12,64,64,"[128,255,255]","[128,255,255]",0.25,128,64,24,50,1,TRUE,FALSE,TRUE,150,0,0,0,0,50,true,false
prv_remission_shot_2,prv_remission_shot,base_trail_heavyBurn,8,0,0,0.08,32,32,"[128,255,255]","[128,255,255]",0.75,128,64,24,50,1,TRUE,FALSE,TRUE,250,500,0,0,0,50,true,false
prv_remission_1_shot_1,prv_remission_1_shot,base_trail_fuzzy,8,0,0,0.12,64,64,"[128,255,255]","[128,255,255]",0.25,128,64,24,50,1,TRUE,FALSE,TRUE,150,0,0,0,0,50,true,false
prv_remission_1_shot_2,prv_remission_1_shot,base_trail_heavyBurn,8,0,0,0.08,32,32,"[128,255,255]","[128,255,255]",0.75,128,64,24,50,1,TRUE,FALSE,TRUE,250,500,0,0,0,50,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#String trail: projectile ID plus a suffix if there are multiple trails for that proj,,,,,,,,,,,,,,,,,,,,,,,,,,,
#String projectile: projectile ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
#String sprite: sprite ID in data\config\settings.json: in the graphics\fx category,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float minLength: minimal segment length. Saves performances especially when time warp in involved,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   !!!! Can be set to a negative value to triggers a more optimized SLOW MODE for projectiles with speeds below 500. !!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float fadeIn: fade in time in seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float duration: full opacity duration in seconds,,base_trail_smooth,,,,,,,,,,,,,,,,,,,,,,,,,
#float fadeOut: fadeout time in seconds,,base_trail_mild,,,,,,,,,,,,,,,,,,,,,,,,,
#float sizeIn: initial width,,base_trail_fuzzy,,,,,,,,,,,,,,,,,,,,,,,,,
#float sizeOut: final width,,base_trail_rough,,,,,,,,,,,,,,,,,,,,,,,,,
#Color colorIn: initial color,,base_trail_smoke,,,,,,,,,,,,,,,,,,,,,,,,,
#Color colorOut: final color,,base_trail_heavySmoke,,,,,,,,,,,,,,,,,,,,,,,,,
#float opacity: maximum opacity clamp,,base_trail_heavyBurn,,,,,,,,,,,,,,,,,,,,,,,,,
#float textLength: texture length in pixels,,base_trail_weave,,,,,,,,,,,,,,,,,,,,,,,,,
#float textScroll: texture scroll speed in pixels per seconds,,base_trail_aura,,,,,,,,,,,,,,,,,,,,,,,,,
#float distance: distance behind the proj the trail spawns,,base_trail_zap,,,,,,,,,,,,,,,,,,,,,,,,,
#float dispersion: amount of randomization per second in su,,base_trail_zapWithCore,,,,,,,,,,,,,,,,,,,,,,,,,
#float drift: amount of sideway compensation for drifting projectiles,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean fadeOnFadeOut: forced fadeout if the proj fades,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean angleAdjustment reorient the trail in the direction of the velocity rather than the proj facing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   !!!! Must be FALSE for BALLISTIC_AS_BEAM projs !!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean additive: normal or additive blending,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float velocityIn: speed at which the trail segments are emited at in su,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float velocityOut: final speed of the trail segments,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float randomVelocity: randomize both velocityIn and out in that proportion.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float angle: offset angle of the trail relative to the projectile orientation after corrections if any (default 0 for directly backward),,,,,,,,,,,,,,,,,,,,,,,,,,,
#float rotationIn: initial angular momentum of the trail segments relative to the projectile,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float rotationOut: final angular momentum of the trail segments,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean randomRotation: randomize the angular momentums. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Can be used to create non-linear dispersion effects when used with various velocities and angular momentums,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean renderBelowExplosions: render the trail under explosions and other particle effects. Mostly used with non additive trails,,,,,,,,,,,,,,,,,,,,,,,,,,,
